[19:27:53] [INFO] received Windows console close event; shutting log-core down
[19:29:39] [INFO] received Windows console close event; shutting log-core down
[19:30:08] [INFO] received Windows console close event; shutting log-core down
[19:30:31] [INFO] received Windows console close event; shutting log-core down
[19:30:43] [INFO] received Windows console close event; shutting log-core down
[19:32:48] [INFO] received Windows console close event; shutting log-core down
[19:42:39] [INFO] received Windows console close event; shutting log-core down
[19:53:18] [INFO] received Windows console close event; shutting log-core down
[19:53:27] [INFO] received Windows console close event; shutting log-core down
[19:55:16] [INFO] received Windows console close event; shutting log-core down
[19:55:21] [INFO] received Windows console close event; shutting log-core down
[19:56:12] [INFO] received Windows console close event; shutting log-core down
[19:58:37] [INFO] received Windows console close event; shutting log-core down
[19:58:49] [INFO] received Windows console close event; shutting log-core down
[20:00:11] [INFO] received Windows console close event; shutting log-core down
[20:00:22] [INFO] received Windows console close event; shutting log-core down
[21:23:42] [INFO] received Windows console close event; shutting log-core down
